query,match,score
2503273845,2503273845,0
2503273845,2503274087,1.1e-19
2503273845,2503276304,7.9e-18
2503273845,2503276610,6.7e-25
2503273845,lcl|AE004091.2_cdsid_AAG04074.1,1e-22
2503273845,lcl|AE004091.2_cdsid_AAG05105.1,1.8e-19
2503273845,lcl|AE004091.2_cdsid_AAG05257.1,7e-27
2503273845,lcl|AE004091.2_cdsid_AAG06493.1,5.9e-31
2503273845,lcl|AE004091.2_cdsid_AAG07692.1,1e-20
2503273845,lcl|AE004091.2_cdsid_AAG08425.1,0
2503273845,lcl|AM181176.4_cdsid_CAY46915.1,2.8e-21
2503273845,lcl|AM181176.4_cdsid_CAY46990.1,3e-14
2503273845,lcl|AM181176.4_cdsid_CAY48654.1,1.1e-29
2503273845,lcl|AM181176.4_cdsid_CAY49458.1,1.4e-26
2503273845,lcl|AM181176.4_cdsid_CAY50509.1,3.5e-27
2503273845,lcl|CP000058.1_cdsid_AAZ33134.1,0
2503273845,lcl|CP000058.1_cdsid_AAZ33348.1,9.3e-27
2503273845,lcl|CP000058.1_cdsid_AAZ33477.1,4.4e-20
2503273845,lcl|CP000058.1_cdsid_AAZ34888.1,3.3e-20
2503273845,lcl|CP000058.1_cdsid_AAZ35378.1,5.2e-29
2503273845,lcl|CP000058.1_cdsid_AAZ37208.1,3.1e-15
2503273845,lcl|CP000075.1_cdsid_AAY35477.1,0
2503273845,lcl|CP000075.1_cdsid_AAY36254.1,2.6e-16
2503273845,lcl|CP000075.1_cdsid_AAY38173.1,2.3e-27
2503273845,lcl|CP000075.1_cdsid_AAY39421.1,1.9e-19
2503273845,lcl|CP000076.1_cdsid_AAY92029.1,6.9e-32
2503273845,lcl|CP000076.1_cdsid_AAY95858.1,1.2e-305
2503273845,lcl|CP000076.1_cdsid_AAY96104.1,8.8e-23
2503273845,lcl|CP000094.2_cdsid_ABA72153.1,0
2503273845,lcl|CP000094.2_cdsid_ABA72392.1,6.5e-19
2503273845,lcl|CP000094.2_cdsid_ABA73730.1,6.9e-17
2503273845,lcl|CP000094.2_cdsid_ABA74913.1,9.5e-27
2503273845,lcl|CP000304.1_cdsid_ABP78263.1,0
2503273845,lcl|CP000304.1_cdsid_ABP79462.1,1.3e-30
2503273845,lcl|CP000680.1_cdsid_ABP82798.1,1.1e-15
2503273845,lcl|CP000680.1_cdsid_ABP83316.1,0
2503273845,lcl|CP000680.1_cdsid_ABP85682.1,1.2e-31
2503273845,lcl|CP000680.1_cdsid_ABP86907.1,1.7e-33
2503273845,lcl|CP000744.1_cdsid_ABR82189.1,1.6e-30
2503273845,lcl|CP000744.1_cdsid_ABR83750.1,1.5e-21
